LG,TEAM,FName,LName,POS1,G, OPS , SLG , AVG , OBP ,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SB%, ERA ,GS,W,L,PCT,CG,SV, IP ,HA,RA,ER,BBA,SOA,GP,HRA,ShO, FPCT1 ,G1,GS1,TC1,INN1,PO1,A1,E1,DP1, POS2 , FPCT2 , G2 , GS2 , TC2 , INN2 , PO2 , A2 , E2 , DP2 ,Year,TEAM LG,ID,BATS,THROWS
N,HOU,Andy,Pettitte,P ,15, 0.487 , 0.217 , 0.174 , 0.269 ,23,0,4,1,0,0,2,3,5,0,0,, 3.90 ,15,6,4, 0.600 ,0,0, 83.0 ,71,37,36,31,79,15,8,0, 0.958 ,15,15,24,83,6,17,1,0,,,,,,,,,,,2004,HOU N,PettitteAndy,,
A,TOR,Josh,Phelps,1B,103, 0.743 , 0.450 , 0.251 , 0.293 ,371,51,93,19,2,17,61,22,93,0,0,,,,,,  ,,,,,,,,,,,, 0.980 ,20,18,151,155,144,4,3,8,,,,,,,,,,,2004,TOR A,PhelpsJosh,,
N,FLA,Tommy,Phelps,P ,18, -   , -   , -   , -   ,6,0,0,0,0,0,0,0,2,0,0,, 4.76 ,4,1,1, 0.500 ,0,0, 34.0 ,34,20,18,12,28,19,6,0, 1.000 ,19,4,8,34,2,6,0,0,,,,,,,,,,,2004,FLA N,PhelpsTommy,,
N,MIL,Travis,Phelps,P ,4, -   , -   , -   , -   ,1,0,0,0,0,0,0,0,1,0,0,, 10.50 ,0,0,1, -   ,0,0, 6.0 ,8,7,7,3,3,4,2,0, 1.000 ,4,0,2,6,1,1,0,0,,,,,,,,,,,2004,MIL N,PhelpsTravis,,
A,NY,Andy,Phillips,3B,5, 0.875 , 0.625 , 0.250 , 0.250 ,8,1,2,0,0,1,2,0,1,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,4,2,7,22,2,5,0,0,,,,,,,,,,,2004,NY A,PhillipsAndy,,
A,CLE,Brandon,Phillips,2B,6, 0.523 , 0.273 , 0.182 , 0.250 ,22,1,4,2,0,0,1,2,5,0,2,0.0%,,,,,  ,,,,,,,,,,,, 0.973 ,6,6,37,56,17,19,1,4,,,,,,,,,,,2004,CLE A,PhillipsBrandon,,
N,NY,Jason,Phillips,1B,128, 0.613 , 0.326 , 0.218 , 0.287 ,362,34,79,18,0,7,34,35,42,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.999 ,125,101,800,908,746,53,1,24,,,,,,,,,,,2004,NY N,PhillipsJason,,
A,KC,Paul,Phillips,C ,4, 0.400 , 0.200 , 0.200 , 0.200 ,5,2,1,0,0,0,0,0,1,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,4,1,12,15,11,1,0,0,,,,,,,,,,,2004,KC A,PhillipsPaul,,
N,NY,Mike,Piazza,C ,129, 0.805 , 0.444 , 0.266 , 0.361 ,455,47,121,21,0,20,54,68,78,0,0,,,,,,  ,,,,,,,,,,,, 0.984 ,118,115,821,906,757,51,13,45,,,,,,,,,,,2004,NY N,PiazzaMike,,
A,KC,Calvin,Pickering,1B,35, 0.843 , 0.500 , 0.246 , 0.343 ,122,21,30,8,1,7,26,18,42,0,0,,,,,,  ,,,,,,,,,,,, 1.000 ,8,7,63,61,60,3,0,6,,,,,,,,,,,2004,KC A,PickeringCalvin,,
N,COL,Jorge,Piedra,OF,38, 0.817 , 0.484 , 0.297 , 0.333 ,91,15,27,8,0,3,10,5,19,0,1,0.0%,,,,,  ,,,,,,,,,,,, 1.000 ,39,22,50,206,49,1,0,1,,,,,,,,,,,2004,COL N,PiedraJorge,,
N,FLA,Juan,Pierre,OF,162, 0.775 , 0.407 , 0.326 , 0.368 ,678,100,221,22,12,3,49,45,35,45,24,65.2%,,,,,  ,,,,,,,,,,,, 0.995 ,162,162,369,1439,364,3,2,1,,,,,,,,,,,2004,FLA N,PierreJuan,,
N,SF,A.J.,Pierzynski,C ,131, 0.710 , 0.410 , 0.272 , 0.300 ,471,45,128,28,2,11,77,19,27,0,1,0.0%,,,,,  ,,,,,,,,,,,, 0.999 ,118,117,754,1022,697,56,1,6,,,,,,,,,,,2004,SF N,PierzynskiA.J.,,
A,SEA,Joel,Piñeiro,P ,2, 0.600 , 0.400 , 0.200 , 0.200 ,5,0,1,1,0,0,0,0,1,0,0,, 4.69 ,21,6,11, 0.353 ,1,0, 140.2 ,144,77,73,43,111,21,21,0, 0.958 ,21,21,24,140,12,11,1,1,,,,,,,,,,,2004,SEA A,PiñeiroJoel,,
